Job Number,Borough Name,Count Permits,First Permit Date,Current Date,Age,Permit Expiration Date,Sidewalk Shed/Linear Feet,Construction Material,Current Job Status,BIN Number,Community Board,Latitude Point,Longitude Point,House Number,Street Name,Borough Digit,Block,Lot,Applicant Business Name,ProCert,Source,activity,Commercial
M00837249-I1,MANHATTAN,,2023-03-21,2024-02-25,340,2024-07-13,110.0,,Permit Entire,1004959,103,40.72174,-73.98392,6,AVENUE B,1,397,38,ARQUITECTURA VARELA,0,DOB NOW,Construction or Maintenance,Commercial District/Overlay
M00837255-I1,MANHATTAN,,2023-03-06,2024-02-25,355,2024-05-26,165.0,,Permit Entire,1031741,107,40.79197,-73.96691,55,WEST   95 STREET,1,1209,109,PR,1,DOB NOW,Local Law 11,Other Zoning Districts
M00837485-I1,MANHATTAN,,2023-03-06,2024-02-25,355,2024-03-06,23.0,,Permit Entire,1046979,108,40.78367,-73.95814,1085,5 AVENUE,1,1501,69,URBAN INTEGRATIONS,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
M00837492-I1,MANHATTAN,,2023-03-03,2024-02-25,358,2024-07-01,245.0,,Permit Entire,1059959,109,40.82077,-73.95515,600,WEST  136 STREET,1,2002,34,ENTHINK ENGINEERING LLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
M00837654-I1,MANHATTAN,,2023-03-06,2024-02-25,355,2024-03-06,223.0,,Permit Entire,1017129,106,40.74879,-73.98185,215,MADISON AVENUE,1,865,53,ENTHINK ENGINEERING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
M00837698-I1,MANHATTAN,,2023-04-22,2024-02-25,308,2024-04-22,200.0,,Permit Entire,1045839,108,40.76722,-73.95535,420,EAST   72 STREET,1,1466,37,MOHAMMAD AHEAD  PE,1,DOB NOW,Local Law 11,Other Zoning Districts
M00837751-I1,MANHATTAN,,2023-03-23,2024-02-25,338,2024-03-23,65.0,,Permit Entire,1016167,105,40.73826,-73.98886,39,EAST   19 STREET,1,848,28,ENTHINK ENGINEERING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
M00838035-I1,MANHATTAN,,2023-03-17,2024-02-25,344,2024-03-17,144.0,,Permit Entire,1074265,111,40.78761,-73.94609,225,EAST   99 STREET,1,1649,1,JOEL PHAGOO P.E. PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
M00838082-I1,MANHATTAN,,2023-03-06,2024-02-25,355,2024-03-06,35.0,,Permit Entire,1026724,104,40.76458,-73.98855,769,9 AVENUE,1,1061,33,PR,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
M00838089-I1,MANHATTAN,,2023-03-06,2024-02-25,355,2024-03-06,128.0,,Permit Entire,1008622,102,40.72674,-73.99599,643,BROADWAY,1,532,25,PR,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
