Account.Id,EVT,FT,NA,NULL,PT,TotalComplaints
28916,0,0,0,1,0,1
32851,0,1,0,1,0,2
20852,0,2,0,1,0,3
18773,0,5,0,1,0,6
28944,0,3,0,1,0,4
13483,0,0,0,1,0,1
17070,0,4,0,1,0,5
13984,0,0,0,1,0,1
36918,0,4,1,1,0,6
45268,0,1,0,1,0,2
15273,0,8,1,1,0,10
14013,0,1,0,1,0,2
38261,0,2,0,1,0,3
46186,0,4,0,1,0,5
30138,0,0,0,1,0,1
13908,0,1,0,1,0,2
38910,0,4,0,1,0,5
20849,0,0,0,1,0,1
30749,0,0,0,1,0,1
46319,0,3,0,1,0,4
39407,0,1,0,1,0,2
46723,0,2,0,1,0,3
39477,0,0,0,1,0,1
17095,0,5,0,1,0,6
39805,0,0,0,1,0,1
33567,0,3,0,1,0,4
57860,0,4,0,0,0,4
65474,0,2,0,0,0,2
53617,0,3,0,0,0,3
57938,0,7,0,0,0,7
66317,0,1,0,0,0,1
57939,0,1,0,0,0,1
52983,0,1,0,0,0,1
57940,0,3,0,0,0,3
64739,0,12,0,0,0,12
57943,0,7,1,0,0,8
55380,0,2,0,0,0,2
57948,0,10,0,0,0,10
66661,22,0,0,0,0,22
57949,0,2,5,0,0,7
57934,0,1,0,0,0,1
57951,0,5,1,0,0,6
63734,0,7,0,0,0,7
57955,0,9,1,0,0,10
64586,0,8,0,0,0,8
57956,0,8,0,0,0,8
48921,0,2,0,0,0,2
49407,0,1,0,0,0,1
65854,0,5,0,0,0,5
57995,0,1,0,0,0,1
66164,0,2,0,0,0,2
57996,0,1,0,0,0,1
66493,0,45,0,0,0,45
57998,0,4,0,0,0,4
66991,0,1,0,0,0,1
58001,0,14,0,0,0,14
57921,0,6,0,0,0,6
58009,0,10,0,0,0,10
63226,0,8,0,0,0,8
58010,0,14,2,0,0,16
63394,0,15,0,0,0,15
58013,0,1,0,0,0,1
64017,0,1,0,0,0,1
58014,0,14,0,0,0,14
64493,0,26,0,0,0,26
49417,0,0,2,0,0,2
54324,0,6,1,0,0,7
58020,0,14,1,0,0,15
64781,0,2,0,0,0,2
58124,0,4,0,0,0,4
65328,0,2,0,0,0,2
58194,0,12,0,0,0,12
54526,0,6,0,0,0,6
49442,0,2,0,0,0,2
65977,0,2,0,0,0,2
